Respondent,MainBranch,Hobbyist,Age,Age1stCode,Salary,Country,WorkWeekHrs,YearsCode,YearsCodePro
119,I am a developer by profession,Yes,35,15,145000,United States,50,16,16
120,I am a developer by profession,Yes,24,15,61616,Germany,40,10,6
121,I am a developer by profession,Yes,26,19,145000,United States,25,8,5
122,I am a developer by profession,No,23,12,109871,United Kingdom,40,10,5
123,I am a developer by profession,Yes,26,12,2.00E+06,United States,36,8,3
124,I am a developer by profession,No,38,14,0,United States,60,24,19
125,"I am not primarily a developer, but I write code sometimes as part of my work",Yes,41,30,2.00E+06,United States,40,11,11
126,I am a developer by profession,Yes,35,11,145000,United States,45,9,4
128,I am a developer by profession,Yes,23,14,80000,United States,37,5,4
129,I am a developer by profession,Yes,30,16,115000,United States,40,4,2
130,I am a developer by profession,No,30,15,95085,United Kingdom,40,8,8
131,I am a developer by profession,Yes,37,11,115000,United States,40,5,3
132,I am a developer by profession,No,38,13,15564,Spain,20,5,4
133,I am a developer by profession,Yes,30,18,24864,Bulgaria,40,8,5
134,I am a developer by profession,Yes,30,10,210050,United Kingdom,32,20,10
135,I am a developer by profession,Yes,53,10,181584,United States,40,35,35
137,I am a developer by profession,Yes,63,17,129718,Germany,40,46,35
138,I am a developer by profession,Yes,25,18,215000,United States,60,4,2
139,I am a developer by profession,No,30,17,45000,United States,40,13,8
140,"I used to be a developer by profession, but no longer am",No,49,13,154781,Canada,40,35,20
142,I am a developer by profession,Yes,27,25,53000,United States,40,3,1
143,I am a developer by profession,Yes,25,10,97500,United States,40,15,5
144,I am a developer by profession,Yes,32,14,75000,United States,38,16,10
145,"I am not primarily a developer, but I write code sometimes as part of my work",Yes,26,11,32315,United Kingdom,37,4,3
146,I am a developer by profession,Yes,33,12,59320,Sweden,40,21,12
147,"I am not primarily a developer, but I write code sometimes as part of my work",No,28,15,37816,Canada,40,5,3
148,I am a developer by profession,No,34,13,54480,Germany,40,10,6
149,I am a developer by profession,Yes,36,31,293196,India,70,5,3
150,I am a developer by profession,Yes,30,12,3.00E+05,United States,40,23,12
151,I am a developer by profession,Yes,35,10,9792,Ukraine,40,8,8
152,I am a developer by profession,Yes,30,16,121980,Switzerland,40,14,6
153,I am a developer by profession,No,30,16,90000,United States,40,6,3
154,I am a developer by profession,No,42,12,150000,United States,40,30,25
155,I am a developer by profession,Yes,43,10,80000,United States,35,33,12
156,I am a developer by profession,Yes,25,16,125000,United States,45,8,5
157,I am a developer by profession,No,26,15,64287,Canada,40,6,4
158,I am a developer by profession,Yes,40,18,170000,United States,35,22,18
159,I am a developer by profession,Yes,30,12,112000,United States,40,18,6
160,I am a developer by profession,Yes,32,8,141000,United States,40,24,11
161,I am a developer by profession,Yes,24,14,36324,Netherlands,40,10,4
162,I am a developer by profession,Yes,38,10,1.00E+05,Canada,30,28,12
163,I am a developer by profession,Yes,33,13,127002,Canada,40,21,18
165,I am a developer by profession,Yes,30,12,80000,United States,40,18,14
166,I am a developer by profession,Yes,28,9,48644,Germany,40,15,6
167,I am a developer by profession,Yes,22,15,41597,Canada,37.5,7,5
168,I am a developer by profession,Yes,25,14,83010,Italy,35,7,4
169,I am a developer by profession,No,32,29,3.00E+05,United States,47,3,2
170,I am a developer by profession,Yes,26,17,130000,United States,45,4,2
171,I am a developer by profession,Yes,31,12,29628,Hungary,40,19,8
172,I am a developer by profession,Yes,51,14,60505,Canada,30,37,24
173,I am a developer by profession,Yes,26,13,92735,Nepal,60,7,5
174,I am a developer by profession,Yes,22,12,70000,United States,40,10,2
175,I am a developer by profession,Yes,27,19,41100,Netherlands,16,3,3
177,I am a developer by profession,Yes,30,18,99346,India,40,12,8
179,I am a developer by profession,Yes,26,16,80000,United States,35,11,6
180,I am a developer by profession,No,34,20,34591,Germany,45,10,7
181,I am a developer by profession,Yes,24,11,87411,Austria,50,9,3
182,I am a developer by profession,Yes,29,11,59454,Germany,40,11,7
185,I am a developer by profession,Yes,24,11,115000,United States,40,14,3
186,I am a developer by profession,Yes,31,25,28536,Slovenia,60,4,2
187,I am a developer by profession,Yes,43,12,94539,Canada,37.5,30,18
188,I am a developer by profession,Yes,30,14,82691,United States,40,4,3
189,I am a developer by profession,Yes,30,15,52968,France,40,15,3
190,I am a developer by profession,Yes,30,20,114375,Uruguay,40,20,12
193,I am a developer by profession,Yes,29,16,2.00E+06,United States,40,13,7
195,I am a developer by profession,Yes,26,13,83450,United States,40,13,8
196,I am a developer by profession,Yes,23,15,1920000,United States,40,8,3
198,I am a developer by profession,Yes,40,8,129718,Netherlands,40,32,14
199,"I used to be a developer by profession, but no longer am",No,34,5,108198,Canada,40,15,10
200,I am a developer by profession,No,53,9,105000,United States,44,44,32
201,I am a developer by profession,Yes,27,18,87841,Pakistan,40,9,4
203,I am a developer by profession,Yes,23,13,90000,United States,40,7,1
204,I am a developer by profession,Yes,57,14,208000,United States,72,33,28
205,I am a developer by profession,No,37,15,160000,United States,40,22,15
207,I am a developer by profession,Yes,35,10,90000,United States,40,25,9
208,I am a developer by profession,Yes,40,14,27240,Romania,60,20,10
209,I am a developer by profession,No,60,20,21620,Italy,40,40,35
210,I am a developer by profession,Yes,34,8,144000,United States,36,26,15
211,I am a developer by profession,Yes,34,15,80000,United States,35,6,5
212,I am a developer by profession,Yes,32,11,81074,Germany,30,11,10
213,"I used to be a developer by profession, but no longer am",Yes,30,16,129907,United States,40,30,15
214,I am a developer by profession,Yes,41,16,160000,United States,40,25,19
215,I am a developer by profession,No,34,16,170000,United States,35,18,12
216,I am a developer by profession,Yes,30,16,41077,France,37,9,4
217,I am a developer by profession,No,32,28,99600,United States,40,4,2
218,I am a developer by profession,Yes,29,11,87732,Canada,40,9,4
219,I am a developer by profession,Yes,24,13,113447,Canada,35,6,2
220,I am a developer by profession,Yes,22,13,28152,France,36,9,1
221,I am a developer by profession,Yes,24,16,48644,France,38,8,2
222,"I am not primarily a developer, but I write code sometimes as part of my work",No,29,12,65000,United States,42,6,2
223,I am a developer by profession,Yes,44,10,58368,Portugal,37,30,20
224,I am a developer by profession,No,45,10,155631,United States,40,35,22
225,I am a developer by profession,Yes,30,7,109430,Finland,25,15,15
226,I am a developer by profession,Yes,30,15,44595,United Kingdom,45,15,3
227,I am a developer by profession,Yes,24,19,11728,India,45,5,2
229,I am a developer by profession,Yes,32,15,140000,United States,40,10,6
231,I am a developer by profession,Yes,50,13,120000,United States,40,37,22
233,I am a developer by profession,Yes,35,14,1.00E+05,United States,35,20,11
235,I am a developer by profession,Yes,35,14,54049,Portugal,45,21,15
236,I am a developer by profession,No,26,15,65000,United States,40,11,6
237,I am a developer by profession,Yes,26,16,29088,Mexico,8,10,6
238,"I am not primarily a developer, but I write code sometimes as part of my work",Yes,30,13,0,United States,12,4,2
239,I am a developer by profession,Yes,28,17,65000,United States,30,12,7
240,I am a developer by profession,Yes,59,38,130000,United States,38,22,20
241,I am a developer by profession,Yes,28,23,8244,Brazil,44,5,3
242,I am a developer by profession,Yes,37,11,87552,Israel,42,22,3
243,I am a developer by profession,Yes,29,25,102000,United States,45,5,3
244,I am a developer by profession,Yes,30,22,136582,Canada,60,23,20
246,I am a developer by profession,Yes,25,16,79687,United States,40,4,3
247,I am a developer by profession,Yes,35,14,120000,United States,35,20,15
248,"I am not primarily a developer, but I write code sometimes as part of my work",No,30,30,127388,Costa Rica,40,20,20
249,I am a developer by profession,Yes,30,21,82691,United States,40,4,3
250,I am a developer by profession,Yes,23,10,77500,United States,40,13,4
251,I am a developer by profession,Yes,28,15,60505,Canada,40,11,6
252,I am a developer by profession,Yes,27,12,122780,United States,41,15,6
253,"I am not primarily a developer, but I write code sometimes as part of my work",Yes,44,5,450000,United States,40,22,19
255,I am a developer by profession,Yes,32,13,38784,Mexico,35,17,12
256,I am a developer by profession,Yes,29,12,54049,Finland,37,12,7
257,I am a developer by profession,Yes,23,15,82000,United States,38,6,2
258,I am a developer by profession,Yes,53,13,518868,France,50,40,30
259,I am a developer by profession,Yes,51,14,174814,United States,45,36,30
260,I am a developer by profession,Yes,62,18,112000,United States,50,42,38
262,I am a developer by profession,Yes,37,10,171000,United States,45,10,10
263,I am a developer by profession,Yes,32,13,106377,Poland,40,19,7
264,I am a developer by profession,No,33,14,75000,United States,37,19,8
265,"I am not primarily a developer, but I write code sometimes as part of my work",Yes,51,42,125000,United States,40,10,5
267,I am a developer by profession,Yes,27,16,75000,United States,40,3,2
269,I am a developer by profession,Yes,44,21,76464,Sweden,40,20,15
270,I am a developer by profession,Yes,38,7,143912,United States,40,31,20
271,I am a developer by profession,Yes,22,19,85000,United States,40,3,1
272,I am a developer by profession,Yes,32,12,42804,Austria,39,18,6
273,"I am not primarily a developer, but I write code sometimes as part of my work",Yes,21,18,23267,United Kingdom,37.5,2,2
274,I am a developer by profession,Yes,26,17,85110,India,40,7,4
276,I am a developer by profession,Yes,32,12,45396,Belgium,38,15,5
277,I am a developer by profession,No,43,9,165000,United States,27,34,24
278,"I am not primarily a developer, but I write code sometimes as part of my work",Yes,25,20,36000,United States,45,5,1
279,I am a developer by profession,Yes,30,14,150792,India,50,10,3
280,I am a developer by profession,Yes,31,18,103516,Canada,37.5,13,10
281,I am a developer by profession,No,26,16,1104000,United States,50,10,3
284,I am a developer by profession,Yes,28,18,27888,Greece,45,7,3
286,"I am not primarily a developer, but I write code sometimes as part of my work",Yes,28,16,24648,France,45,13,3
287,I am a developer by profession,Yes,39,6,72000,United States,70,14,10
288,I am a developer by profession,No,40,16,32424,Portugal,40,20,15
289,I am a developer by profession,Yes,28,15,41597,Canada,48,4,2
290,I am a developer by profession,Yes,45,19,51888,Greece,40,24,19
292,I am a developer by profession,No,28,21,51138,Sweden,40,8,2
293,"I am not primarily a developer, but I write code sometimes as part of my work",Yes,52,9,1.00E+05,United States,60,43,30
294,I am a developer by profession,Yes,40,19,33528,Turkey,40,20,14
295,I am a developer by profession,No,31,14,57480,Canada,40,16,12
296,"I am not primarily a developer, but I write code sometimes as part of my work",Yes,49,12,59454,France,50,28,22
297,I am a developer by profession,Yes,42,30,31200,Panama,40,10,5
298,I am a developer by profession,Yes,27,15,80000,Greece,25,10,4
299,I am a developer by profession,Yes,24,14,75000,United States,40,7,2
300,I am a developer by profession,Yes,42,7,260000,United States,40,28,15
301,I am a developer by profession,Yes,32,12,130000,United States,40,21,11
303,"I am not primarily a developer, but I write code sometimes as part of my work",Yes,48,16,146400,United States,32,32,23
304,I am a developer by profession,Yes,52,14,136136,Canada,35,24,21
305,"I am not primarily a developer, but I write code sometimes as part of my work",Yes,24,13,82500,United States,45,8,2
306,I am a developer by profession,Yes,24,18,75833,Canada,40,4,1
307,I am a developer by profession,Yes,41,14,648588,Ireland,45,24,19
308,I am a developer by profession,No,59,15,170000,United States,50,31,30
309,I am a developer by profession,Yes,28,24,70693,Italy,4,4,3
310,I am a developer by profession,Yes,27,18,8712,Brazil,40,10,10
311,I am a developer by profession,No,30,18,98000,United States,50,12,8
313,I am a developer by profession,Yes,46,16,1.00E+06,Canada,37,20,20
314,"I am not primarily a developer, but I write code sometimes as part of my work",Yes,36,7,160000,United States,45,29,15
315,I am a developer by profession,Yes,46,8,160000,United States,35,20,20
318,I am a developer by profession,Yes,48,15,108098,Germany,40,19,16
319,I am a developer by profession,No,49.5,12,71850,Canada,40,30,26
320,I am a developer by profession,Yes,30,8,98165,United States,40,17,4
322,I am a developer by profession,Yes,24,18,4188,India,42,1,3
323,I am a developer by profession,Yes,26,16,55967,Canada,37.5,4,2
324,"I am not primarily a developer, but I write code sometimes as part of my work",No,48,12,131800,United States,40,37,25
325,I am a developer by profession,Yes,29,10,109455,United States,40,19,10
326,I am a developer by profession,Yes,21,11,24000,United States,25,4,3
328,I am a developer by profession,Yes,32,15,17184,Brazil,40,13,9
329,I am a developer by profession,Yes,42,7,80000,United States,40,35,15
330,I am a developer by profession,No,30,13,115000,United States,40,9,5
331,I am a developer by profession,Yes,37,10,120000,United States,40,20,15
332,I am a developer by profession,Yes,27,25,77004,United States,45,2,1
335,I am a developer by profession,No,32,26,87896,United Kingdom,40,6,6
336,I am a developer by profession,Yes,39,35,99000,United States,40,4,1
337,I am a developer by profession,No,35,12,150000,United States,35,23,11
338,I am a developer by profession,No,24,13,55967,Canada,45,6,1
339,I am a developer by profession,No,27,18,64859,Netherlands,45,9,6
340,"I am not primarily a developer, but I write code sometimes as part of my work",Yes,33,11,84019,United Kingdom,35,4,2
341,I am a developer by profession,Yes,32,14,142308,Switzerland,45,18,10
342,I am a developer by profession,Yes,46,35,110000,United States,40,10,10
344,I am a developer by profession,Yes,26,19,69000,United States,40,7,3
345,I am a developer by profession,No,34,10,55000,United States,40,24,7
347,I am a developer by profession,Yes,30,20,36753,Spain,40,7,4
348,I am a developer by profession,No,27,25,27144,United Kingdom,40,3,2
349,I am a developer by profession,Yes,27,10,130000,United States,40,13,4
350,I am a developer by profession,Yes,32,11,31348,Estonia,40,3,2
351,I am a developer by profession,No,27,16,90533,United States,40,10,5
354,I am a developer by profession,Yes,25,19,387780,United Kingdom,40,5,2
355,I am a developer by profession,Yes,30,17,79437,United States,40,4,1
356,I am a developer by profession,No,23,18,125000,United States,40,5,1
359,I am a developer by profession,No,25,20,1.00E+05,United States,40,5,3
360,I am a developer by profession,No,27,16,14220,Philippines,40,10,6
361,I am a developer by profession,Yes,28,13,140000,United States,45,10,7
362,I am a developer by profession,Yes,36,13,2.00E+05,United States,50,23,15
363,I am a developer by profession,Yes,40,8,97288,Germany,40,32,23
365,I am a developer by profession,No,29,14,90000,United States,40,13,7
367,I am a developer by profession,Yes,28,18,659220,United Kingdom,40,10,7
369,I am a developer by profession,No,37,15,144000,United States,40,22,16
370,I am a developer by profession,Yes,25,15,87705,United States,40,10,4
371,"I am not primarily a developer, but I write code sometimes as part of my work",Yes,24,13,52942,Canada,40,15,2
372,I am a developer by profession,Yes,36,16,140000,United States,40,10,5
373,I am a developer by profession,Yes,33,13,71093,United Kingdom,35,17,7
374,I am a developer by profession,Yes,40,15,136136,Canada,50,35,20
375,I am a developer by profession,Yes,29,12,39492,Poland,40,17,9
376,I am a developer by profession,Yes,30,20,104279,India,60,11,8
377,I am a developer by profession,Yes,49,8,90000,United States,40,42,28
378,I am a developer by profession,No,26,14,64287,Canada,35,12,3
379,I am a developer by profession,No,40,38,48500,United States,40,2,1
380,"I am not primarily a developer, but I write code sometimes as part of my work",Yes,38,16,92300,United States,48,15,6
381,I am a developer by profession,Yes,26,14,56723,Canada,44,8,3
382,I am a developer by profession,Yes,33,17,24744,Brazil,40,16,11
383,I am a developer by profession,No,30,18,90000,United States,40,12,9
384,I am a developer by profession,No,56,16,75631,Canada,40,40,30
386,I am a developer by profession,Yes,43,11,39941,United Kingdom,22,32,20
387,I am a developer by profession,Yes,28,6,775560,United Kingdom,20,22,11
388,"I am not primarily a developer, but I write code sometimes as part of my work",Yes,30,15,94466,United States,40,12,5
389,I am a developer by profession,Yes,42,15,41600,Canada,40,27,21
390,I am a developer by profession,Yes,26,12,1.00E+05,United States,40,14,4
391,I am a developer by profession,Yes,23,13,44622,Canada,40,8,3
393,I am a developer by profession,Yes,30,20,84821,United States,40,6,3
396,I am a developer by profession,Yes,44,12,107000,United States,40,26,12
397,I am a developer by profession,Yes,30,17,95000,United States,40,7,4
399,I am a developer by profession,Yes,40,18,93840,United States,37,22,18
400,I am a developer by profession,Yes,63,20,79095,United States,40,43,18
401,I am a developer by profession,Yes,34,17,46767,Australia,30,25,20
402,I am a developer by profession,Yes,22,13,51704,United Kingdom,37.5,9,4
403,I am a developer by profession,Yes,34,14,105000,United States,35,11,4
405,I am a developer by profession,Yes,45,11,150809,Germany,40,32,21
406,I am a developer by profession,No,22,6,325728,United Kingdom,37,6,6
408,I am a developer by profession,Yes,30,7,97566,Nomadic,38,17,4
409,I am a developer by profession,Yes,33,18,43866,Canada,38,16,10
411,I am a developer by profession,Yes,27,16,60505,Canada,40,11,5
413,I am a developer by profession,Yes,38,16,56760,Peru,40,23,17
414,I am a developer by profession,Yes,24,14,23735,India,36,8,2
415,"I am not primarily a developer, but I write code sometimes as part of my work",Yes,47,11,39328,Canada,40,36,22
416,I am a developer by profession,Yes,31,16,102077,Hungary,40,14,8
417,I am a developer by profession,No,38,18,115000,United States,40,21,7
418,I am a developer by profession,Yes,40,14,71850,Canada,35,26,16
419,I am a developer by profession,Yes,38,19,104000,United States,42,19,13
420,I am a developer by profession,Yes,31,17,101012,Canada,40,13,8
421,I am a developer by profession,Yes,34,17,41618,Cyprus,40,17,13
423,I am a developer by profession,No,26,19,35849,Canada,35,8,4
424,I am a developer by profession,Yes,43,13,140524,United States,40,25,20
425,I am a developer by profession,No,27,11,105000,United States,40,12,4
426,I am a developer by profession,Yes,37,18,739392,Germany,40,19,15
429,I am a developer by profession,Yes,37,18,56874,United Kingdom,30,20,16
430,I am a developer by profession,Yes,28,5,151263,Canada,35,23,15
431,I am a developer by profession,Yes,44,7,80000,United States,40,22,22
432,"I used to be a developer by profession, but no longer am",No,30,9,122005,Canada,40,18,18
433,I am a developer by profession,Yes,24,12,9564,Sri Lanka,50,11,3
434,I am a developer by profession,Yes,41,10,52942,Canada,40,25,20
435,I am a developer by profession,No,37,10,105072,Israel,45,21,8
436,"I am not primarily a developer, but I write code sometimes as part of my work",Yes,24,18,75000,United States,40,5,1
437,I am a developer by profession,Yes,33,27,85000,United States,30,6,6
438,I am a developer by profession,No,48,40,77556,United Kingdom,37.5,8,6
439,"I am not primarily a developer, but I write code sometimes as part of my work",No,56,12,170000,United States,40,44,10
440,I am a developer by profession,Yes,30,12,151500,Germany,40,35,25
441,I am a developer by profession,No,28,18,27492,Brazil,40,11,8
442,I am a developer by profession,Yes,22,13,68000,United States,40,9,4
443,I am a developer by profession,Yes,24,13,55211,Canada,25,10,5
444,I am a developer by profession,Yes,25,21,36456,Taiwan,40,4,4
445,I am a developer by profession,Yes,31,12,119820,United States,40,14,9
447,I am a developer by profession,Yes,31,12,32429,Italy,8,18,6
448,I am a developer by profession,Yes,41,10,581667,United Kingdom,40,30,20
449,I am a developer by profession,Yes,27,12,1.00E+05,United States,40,14,10
451,I am a developer by profession,Yes,38,16,123430,France,45,18,15
454,I am a developer by profession,Yes,35,8,118247,United States,50,18,12
455,I am a developer by profession,Yes,19,12,32315,United Kingdom,38,8,2
456,I am a developer by profession,Yes,26,17,73000,United States,40,9,5
457,I am a developer by profession,No,37,20,110000,United States,50,17,3
458,I am a developer by profession,Yes,42,20,134597,United States,40,20,20
460,I am a developer by profession,Yes,38,10,150000,United States,80,28,20
461,I am a developer by profession,No,43,5,115000,United States,20,20,20
462,I am a developer by profession,Yes,23,8,70338,United States,40,8,2
463,I am a developer by profession,Yes,43,15,154000,United States,50,28,20
465,I am a developer by profession,Yes,35,13,107017,Germany,41,23,14
466,I am a developer by profession,Yes,25,10,68000,United States,40,15,5
469,I am a developer by profession,Yes,23,16,47563,Germany,40,6,2
470,I am a developer by profession,Yes,33,15,108159,Canada,40,14,11
471,I am a developer by profession,Yes,21,11,372264,United Kingdom,40,6,4
472,I am a developer by profession,Yes,19,14,33900,Canada,37.5,5,1
473,I am a developer by profession,No,28,15,50266,Germany,40,6,4
474,I am a developer by profession,Yes,25,15,10471,India,8,5,3
475,I am a developer by profession,Yes,30,19,91270,Italy,40,9,5
476,I am a developer by profession,Yes,41,10,134888,Netherlands,40,30,14
477,I am a developer by profession,Yes,28,15,46533,United Kingdom,40,12,6
478,I am a developer by profession,Yes,24,15,108000,United States,40,8,3
479,I am a developer by profession,No,31,23,118500,United States,40,7,7
480,I am a developer by profession,No,60,16,201576,Canada,30,45,40
482,I am a developer by profession,No,33,26,60000,United States,40,8,3
483,I am a developer by profession,Yes,24,18,70000,United States,40,5,2
484,I am a developer by profession,Yes,46,8,140000,United States,45,28,16
485,"I am not primarily a developer, but I write code sometimes as part of my work",No,49,16,77144,Canada,35,32,27
486,I am a developer by profession,Yes,42,19,101588,France,70,5,4
487,I am a developer by profession,Yes,34,10,84019,United Kingdom,45,24,13
489,I am a developer by profession,No,39,33,312,Kyrgyzstan,70,4,4
490,I am a developer by profession,Yes,29,18,89350,Sri Lanka,50,8,3
492,I am a developer by profession,Yes,24,21,180000,United States,45,5,3
493,I am a developer by profession,Yes,30,19,85887,India,40,7,3
495,I am a developer by profession,Yes,37,15,115230,Finland,38,22,9
496,I am a developer by profession,Yes,33,14,45396,Germany,40,18,12
497,I am a developer by profession,Yes,24,16,95000,United States,40,8,2
498,I am a developer by profession,Yes,32,18,101613,Germany,40,13,8
499,I am a developer by profession,Yes,40,19,115000,United States,40,22,13
500,I am a developer by profession,Yes,31,7,140000,United States,40,15,5
501,I am a developer by profession,Yes,41,8,156000,United States,40,33,15
502,I am a developer by profession,No,41,9,55967,Canada,35,27,12
503,I am a developer by profession,Yes,34,12,1500000,United States,40,13,13
504,I am a developer by profession,Yes,52,17,45288,Croatia,50,35,26
505,I am a developer by profession,No,24,17,6000,Egypt,35,6,1
506,I am a developer by profession,No,30,16,1.00E+05,United States,40,21,17
507,"I am not primarily a developer, but I write code sometimes as part of my work",Yes,22,14,40070,United Kingdom,50,8,3
508,"I am not primarily a developer, but I write code sometimes as part of my work",Yes,30,13,250000,United States,45,37,30
509,I am a developer by profession,No,32,18,81074,Germany,40,14,8
511,I am a developer by profession,No,36,29,59999,United States,40,4,1
513,I am a developer by profession,Yes,30,17,84019,United Kingdom,40,6,10
514,I am a developer by profession,No,31,17,71850,Canada,40,12,8
515,I am a developer by profession,Yes,22,14,25272,Poland,40,4,2
516,I am a developer by profession,Yes,34,7,14796,Argentina,40,19,14
517,I am a developer by profession,No,30,22,71494,Canada,36,8,6
519,I am a developer by profession,No,30,23,162383,Russian Federation,40,33,33
520,I am a developer by profession,No,35,19,25656,Iran,39,8,4
